channel_id,site_store,region,store_type,urbanization,b2b_b2c
ST,60000003,KVMN,Siêu thị,Nội thành,B2B
ST,60000006,KVMN,Siêu thị,Nội thành,B2B
ST,60000007,KVMN,Siêu thị,Nội thành,B2B
ST,60000008,KVMN,Siêu thị,Nội thành,B2B
ST,60000534,KVMN,Siêu thị,Nội thành,B2B
ST,60000535,KVMN,Siêu thị,Nội thành,B2B
ST,60000536,KVMN,Siêu thị,Nội thành,B2B
ST,60000537,KVMN,Siêu thị,Nội thành,B2B
ST,60000538,KVMN,Siêu thị,TT hành chính kinh tế,B2B
ST,60000539,KVMN,Siêu thị,Nội thành,B2B
ST,60000540,KVMN,Siêu thị,Nội thành,B2B
ST,60000541,KVMN,Siêu thị,Nội thành,B2B
ST,60000542,KVMN,Siêu thị,Nội thành,B2B
ST,60000543,KVMN,Siêu thị,Nội thành,B2B
ST,60000545,KVMN,Siêu thị,Nội thành,B2B
ST,60000546,KVMN,Siêu thị,Nội thành,B2B
ST,60000547,KVMN,Siêu thị,Nội thành,B2B
ST,60000548,KVMN,Siêu thị,Nội thành,B2B
ST,60000549,KVMN,Siêu thị,Nội thành,B2B
ST,60000551,KVMN,Siêu thị,Nội thành,B2B
ST,60000552,KVMN,Siêu thị,Nội thành,B2B
ST,60000553,KVMN,Siêu thị,Nội thành,B2B
ST,60000554,KVMN,Siêu thị,Nội thành,B2B
ST,60000555,KVMN,Siêu thị,Nội thành,B2B
ST,60000556,KVMN,Siêu thị,Nội thành,B2B
ST,60000558,KVMN,Siêu thị,Nội thành,B2B
ST,60000559,KVMN,Siêu thị,Nội thành,B2B
ST,60001167,KVMN,Siêu thị,Nội thành,B2B
ST,60002010,KVMN,Siêu thị,Nội thành,B2B
ST,60002100,KVMN,Siêu thị,Nội thành,B2B
ST,60002115,KVMN,Siêu thị,Nội thành,B2B
ST,60002151,KVMN,Siêu thị,Nội thành,B2B
ST,60002180,KVMN,Siêu thị,Nội thành,B2B
ST,60002256,KVMN,Siêu thị,Nội thành,B2B
ST,60002271,KVMN,Siêu thị,Nội thành,B2B
ST,60002284,KVMN,Siêu thị,Nội thành,B2B
ST,60002304,KVMN,Siêu thị,Nội thành,B2B
ST,60002335,KVMN,Siêu thị,Nông thôn,B2B
ST,60002360,KVMN,Siêu thị,Nội thành,B2B
ST,60002401,KVMN,Siêu thị,Nội thành,B2B
ST,60002460,KVMN,Siêu thị,Nông thôn,B2B
ST,60002540,KVMN,Siêu thị,Nội thành,B2B
ST,60002621,KVMN,Siêu thị,Nội thành,B2B
ST,60002720,KVMN,Siêu thị,Nội thành,B2B
ST,60002766,KVMN,Siêu thị,Nội thành,B2B
ST,60002855,KVMN,Siêu thị,Nội thành,B2B
ST,60002925,KVMN,Siêu thị,Nội thành,B2B
ST,60002934,KVMN,Siêu thị,Nội thành,B2B
ST,60002962,KVMN,Siêu thị,Nội thành,B2B
ST,60002963,KVMN,Siêu thị,Nội thành,B2B
ST,60002964,KVMN,Siêu thị,Nông thôn,B2B
ST,60002998,KVMN,Siêu thị,Nông thôn,B2B
ST,60003007,KVMN,Siêu thị,Nội thành,B2B
ST,60003008,KVMN,Siêu thị,Nội thành,B2B
ST,60003009,KVMN,Siêu thị,Nội thành,B2B
ST,60003015,KVMN,Siêu thị,Nội thành,B2B
ST,60003016,KVMN,Siêu thị,Nội thành,B2B
ST,60003017,KVMN,Siêu thị,Nội thành,B2B
ST,60003018,KVMN,Siêu thị,Nội thành,B2B
ST,60003026,KVMN,Siêu thị,Nội thành,B2B
ST,60003037,KVMN,Siêu thị,Nội thành,B2B
ST,60003077,KVMN,Siêu thị,Nội thành,B2B
ST,60003241,KVMN,Siêu thị,Nội thành,B2B
ST,60003255,KVMN,Siêu thị,Nội thành,B2B
ST,60003259,KVMN,Siêu thị,Nông thôn,B2B
ST,60003278,KVMN,Siêu thị,Nội thành,B2B
ST,60003300,KVMN,Siêu thị,Nội thành,B2B
ST,60003307,KVMN,Siêu thị,Nông thôn,B2B
ST,60003314,KVMN,Siêu thị,Nông thôn,B2B
ST,60003395,KVMN,Siêu thị,Nội thành,B2B
ST,60003396,KVMN,Siêu thị,Nội thành,B2B
ST,60003397,KVMN,Siêu thị,Nội thành,B2B
ST,60003410,KVMN,Siêu thị,Nội thành,B2B
ST,60003415,KVMN,Siêu thị,Nội thành,B2B
ST,60003450,KVMN,Siêu thị,Nông thôn,B2B
ST,60003482,KVMN,Siêu thị,Nông thôn,B2B
ST,60003496,KVMN,Siêu thị,Nội thành,B2B
ST,60003505,KVMN,Siêu thị,Nông thôn,B2B
ST,60003517,KVMN,Siêu thị,Nông thôn,B2B
ST,60003526,KVMN,Siêu thị,Nông thôn,B2B
ST,60003553,KVMN,Siêu thị,Nông thôn,B2B
ST,60003555,KVMN,Siêu thị,Nội thành,B2B
ST,60003556,KVMN,Siêu thị,Nông thôn,B2B
ST,60001451,KVMB,Siêu thị,Nội thành,B2B
ST,60001462,KVMB,Siêu thị,Nội thành,B2B
ST,60001633,KVMB,Siêu thị,Nội thành,B2B
ST,60001815,KVMB,Siêu thị,Nội thành,B2B
ST,60001883,KVMB,Siêu thị,Nội thành,B2B
ST,60002140,KVMB,Siêu thị,Nội thành,B2B
ST,60002240,KVMB,Siêu thị,Nội thành,B2B
ST,60002370,KVMB,Siêu thị,Nội thành,B2B
ST,60002371,KVMB,Siêu thị,Nội thành,B2B
ST,60002469,KVMB,Siêu thị,Nội thành,B2B
ST,60002556,KVMB,Siêu thị,Nội thành,B2B
ST,60002557,KVMB,Siêu thị,Nội thành,B2B
ST,60002559,KVMB,Siêu thị,Nội thành,B2B
ST,60002560,KVMB,Siêu thị,Nội thành,B2B
