site_store,region,store_type,urbanization,b2b_b2c,region_enc,urbanization_enc,is_b2b_b2c,store_Khác,store_Online,store_Pop - up,store_Siêu thị,store_Store In Store,store_Trong mall,store_Độc lập
60000003,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000006,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000007,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000008,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000534,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000535,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000536,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000537,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000538,KVMN,Siêu thị,TT hành chính kinh tế,B2B,2,3,0,False,False,False,True,False,False,False
60000539,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000540,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000541,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000542,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000543,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000545,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000546,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000547,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000548,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000549,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000551,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000552,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000553,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000554,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000555,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000556,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000558,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60000559,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60001167,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002010,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002100,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002115,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002151,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002180,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002256,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002271,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002284,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002304,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002335,KVMN,Siêu thị,Nông thôn,B2B,2,1,0,False,False,False,True,False,False,False
60002360,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
60002401,KVMN,Siêu thị,Nội thành,B2B,2,2,0,False,False,False,True,False,False,False
